"that",8246
"with",6157
"state",5313
"health",4962
"have",4674
"this",4636
"services",4483
"connecticut",3994
"care",2877
"budget",2759
"program",2742
"will",2722
"community",2676
"funding",2671
"their",2602
"from",2519
"these",2430
"support",2089
"programs",2076
"they",2044
"children",1945
"school",1916
"committee",1909
"more",1818
"year",1787
"would",1787
"students",1673
"education",1665
"been",1557
"appropriations",1470
"cuts",1464
"mental",1425
"years",1402
"work",1399
"members",1391
"need",1376
"families",1366
"people",1365
"which",1327
"public",1286
"testimony",1257
"many",1230
"provide",1228
"time",1190
"thank",1143
"also",1111
"other",1105
"help",1103
"2016",1089
"than",1072
"home",1066
"your",1055
"proposed",1050
"through",1049
"needs",1037
"february",1033
"family",1031
"center",992
"over",968
"ahec",967
"when",964
"about",951
"department",946
"those",943
"system",929
"there",894
"service",867
"uconn",857
"them",851
"million",841
"continue",807
"what",807
"staff",801
"only",799
"most",795
"like",794
"because",787
"were",777
"states",758
"name",741
"centers",728
"impact",725
"very",718
"life",716
"housing",714
"making",713
"residents",710
"without",705
"representative",702
"make",694
"important",690
"being",674
"communities",674
"access",673
"able",665
"resources",664
"senator",655
"medical",651
"governors",651
"well",642
"local",641
"into",637
"fiscal",636
"funds",634
"cost",629
"regional",628
"such",625
"please",620
"individuals",611
"quality",611
"development",610
"good",610
"every",604
"schools",601
"high",596
"even",595
"social",592
"supports",587
"future",586
"youth",585
"parents",584
"opportunity",580
"provides",576
"here",573
"some",571
"child",567
"adjustments",560
"know",557
"based",555
"before",551
"medicaid",551
"first",542
"living",542
"director",539
"part",538
"agency",538
"governor",535
"agencies",533
"network",533
"providers",525
"training",525
"early",524
"walker",520
"university",519
"hartford",517
"college",517
"last",512
"line",508
"office",506
"connecticuts",504
"costs",502
"providing",501
"5044",500
"while",499
"ending",498
"prevention",494
"including",493
"made",492
"workforce",487
"federal",486
"each",482
"student",481
"could",477
"where",477
"expenditures",477
"current",473
"today",472
"june",471
"working",465
"since",465
"disabilities",459
"much",458
"nursing",456
"information",455
"issues",454
"just",443
"needed",441
"money",441
"after",438
"learning",438
"both",438
"young",436
"grant",435
"serve",435
"place",429
"meet",424
"provided",423
"must",422
"research",418
"ability",417
"want",415
"across",409
"great",409
"private",405
"long",403
"address",402
"economic",402
"increase",402
"general",402
"commission",401
"already",401
"urge",392
"critical",392
"hospital",391
"funded",391
"take",388
"abuse",388
"live",385
"fund",378
"adult",377
"additional",375
"better",374
"childhood",371
"currently",370
"past",367
"patients",366
"higher",365
"dollars",363
"board",362
"within",362
"lives",360
"under",359
"level",358
"opportunities",357
"should",355
"best",354
"change",354
"proposal",354
"hearing",350
"process",348
"safety",344
"executive",344
"educational",343
"haven",342
"independent",342
"primary",340
"available",340
"evening",333
"careers",333
"further",333
"2015",329
"item",326
"offer",325
"member",324
"human",324
"citizens",323
"treatment",322
"behalf",321
"legal",318
"experience",317
"statewide",317
"policy",317
"street",317
"assistance",315
"start",314
"keep",312
"council",311
"number",308
"advocacy",306
"less",306
"parent",306
"2017",305
"area",305
"become",304
"core",304
"action",303
"sbhcs",301
"legislature",301
"challenges",300
"skills",300
"efforts",299
"come",298
"plan",297
"group",297
"difficult",296
"population",296
"women",295
"professionals",294
"effective",293
"consideration",292
"inc.",291
"national",290
"jobs",290
"received",290
"behavioral",289
"receive",289
"workers",286
"result",284
"during",282
"understand",281
"tourism",280
"submitted",279
"three",279
"organization",278
"financial",276
"resource",275
"speak",275
"again",273
"success",273
"ensure",273
"continued",273
"back",273
"increased",272
"risk",272
"reduction",272
"clients",270
"court",269
"investment",268
"safe",268
"learn",267
"reduce",267
"grants",267
"substance",266
"victims",266
"maintain",266
"then",265
"having",262
"same",260
"healthcare",259
"crisis",259
"significant",259
"however",258
"homes",258
"person",257
"leadership",256
"does",256
"together",256
"association",254
"addition",252
"mission",250
"violence",250
"emergency",249
"brain",249
"hours",249
"between",249
"total",248
"helped",248
"employment",247
"legislative",247
"government",246
"reduced",245
"case",242
"alliance",242
"sincerely",242
"hope",241
"model",241
"greater",241
"food",240
"essential",240
"teachers",239
"dmhas",238
"vulnerable",238
"homelessness",237
"advocate",235
"organizations",235
"benefits",235
"small",233
"term",233
"hospitals",232
"going",232
"ofthe",231
"consider",231
"find",231
"regarding",230
"include",229
"vital",228
"injury",228
"adults",228
"addiction",227
"rights",226
"president",226
"feel",226
"times",225
"management",225
"others",225
"necessary",224
"employees",224
"hard",224
"house",224
"residential",223
"throughout",223
"economy",222
"eastern",222
"2017.",222
"waiting",220
"dear",219
"resident",219
"arts",219
"often",218
"order",217
"sexual",216
"bill",215
"affordable",214
"childrens",214
"another",213
"rate",213
"changes",213
"bring",212
"free",212
"still",211
"assembly",211
"among",211
"bridgeport",211
"developmental",210
"aging",210
"partnership",208
"full",207
"transportation",207
"give",204
"next",203
"dont",203
"savings",203
"healthy",203
"academic",202
"homeless",202
"served",200
"percent",200
"kids",199
"special",198
"reducing",198
"believe",197
"collaboration",196
"positive",196
"facility",196
"data",195
"problems",195
"biac",194
"week",194
"outcomes",194
"worker",194
"fact",193
"boards",193
"lack",193
"worked",192
"directly",192
"given",192
"right",192
"reductions",191
"possible",191
"cutting",191
"different",190
"contact",190
"income",189
"doing",188
"professional",188
"improve",187
"report",187
"club",187
"rates",187
"business",186
"decisions",185
"revenue",184
"related",184
"supported",183
"districts",183
"project",183
